id,name,lat,lon,closingHourCompare
230,LOCAL 149,42.333112,-71.027318,equal
231,"LIMERICK CO., INC. OF DORCHESTER",42.30591,-71.0586,equal
232,LIBERTINE,42.364629,-71.05543,equal
233,Laylas American Tavern,42.338415,-71.049876,equal
234,Lani's Pizza,42.27984,-71.0926,not pass
235,LANDMARK PUBLIC HOUSE,42.28342,-71.055519,equal
236,LA TERRAZA,42.375103,-71.037993,equal
237,La Hacienda and Bar,42.373663,-71.039143,equal
238,La Gran Manzana,42.375123,-71.038568,equal
239,LA FONDA COLOMBIANA,34.244387,-73.651391,equal
240,KOY,42.360718,-71.056456,not pass
241,KING'S,42.353109,-71.04722,not pass
242,Kings,42.347065,-71.085643,not pass
243,Kimchipapi Kitchen,42.353624,-71.132412,not pass
244,KELLEHER'S BAR & GRILLE,42.293937,-71.13618,equal
245,KAZE SHABU SHABU,42.352361,-71.061557,equal
246,Kartel,42.34464,-71.06991,equal
247,Jumbo Seafood,42.35108,-71.06004,equal
248,Joseph's Pizzeria and Sub Shop,42.283446,-71.091399,equal
249,Joseph's Pizza & Sub Shop,42.331748,-71.111762,equal
250,JM Curley/Bogies Place/The Wig Shop Lounge,34.244387,-73.651391,equal
251,JILLIAN'S BILLIARD'S CLUB,42.347312,-71.094489,not pass
252,JAHO COFFEE ROASTERS & WINE BAR,42.34651,-71.07976,not pass
253,JADE GARDEN RESTAURANT,42.246468,-71.124917,pass
254,J.P. LICKS,42.312865,-71.114424,not pass
255,J.P. LICKS,42.34682,-71.0886,equal
256,J.J. FOLEY'S CAF,42.343703,-71.065313,not pass
257,J.J. FOLEY'S,42.353827,-71.059166,not pass
258,IRISH VILLAGE,42.354949,-71.149775,not pass
259,INDUSTRY,42.28397,-71.055271,equal
260,INBOUND PIZZA,42.349823,-71.131038,pass
261,IMPERIAL KITCHEN,42.28597,-71.12914,equal
262,Ilmondo Pizza,42.333712,-71.105369,not pass
263,Hue,42.34861,-71.07882,equal
264,HOWL AT THE MOON AND DOWN ULTRA LOUNGE,42.35668,-71.05257,equal
265,House of Shawarma,42.35075,-71.13098,pass
266,HOT POT BUFFET,42.351353,-71.059891,equal
267,HOSHI YA,42.3492,-71.16295,not pass
268,Hong Kong Harbor,42.36888,-71.039276,pass
269,Home Run Cafe,42.32146,-71.06264,equal
270,HENNESSY'S OF BOSTON,42.361014,-71.056731,equal
271,Hava Lounge,42.350688,-71.064669,not pass
272,HARVARD GARDENS,42.36093,-71.06901,not pass
273,HARRY'S BAR AND GRILL,34.244387,-73.651391,equal
274,HARP & BARD,42.313066,-71.057429,equal
275,HAN,42.35116,-71.13119,equal
276,Habibi's Lounge,42.35075,-71.13098,pass
277,Gyroscope/Sprout/Boston House of Pizza,42.341274,-71.087336,not pass
278,GREEN DRAGON TAVERN,42.36147,-71.056839,equal
279,GRAY'S HALL,42.33538,-71.03969,not pass
280,GOPCHANG STORY,42.351746,-71.119724,equal
281,GATHER,42.353876,-71.048142,equal
282,GARDEN HALAL RESTAURANT,42.361496,-71.05641,equal
283,GAME ON SPORTS CAF,34.244387,-73.651391,equal
284,FRANKLIN CAF,42.342938,-71.068891,equal
285,FLORENTINE CAF,34.244387,-73.651391,not pass
286,Flight Club,42.353109,-71.04722,not pass
287,Five Iron Golf,42.359356,-71.057982,not pass
288,FIVE HORSES TAVERN,42.34186,-71.08059,equal
289,Fields West,42.34956,-71.13491,not pass
290,FENWAY JOHNNIE'S,42.34612,-71.09929,equal
291,Fat Baby Sushi & Cocktails,42.335003,-71.046228,equal
292,Eugene O'Neill's,42.30053,-71.112809,equal
293,Estella,42.354864,-71.061843,equal
294,EMPIRE,34.244387,-73.651391,equal
295,ELEPHANT & CASTLE,42.356286,-71.057501,not pass
296,El Triunfo Restaurant/Ali Baba,42.343506,-71.064799,pass
297,El Jefe's Taqueria of Northeastern,42.342179,-71.08624,equal
298,EL JEFE'S TAQUERIA OF BU COMM AVE,42.35191,-71.11889,equal
299,El Jefe's Taqueria,42.352226,-71.06491,not pass
300,Eddie C's,42.369961,-71.039351,equal
301,Eastern Standard Kitchen,42.347466,-71.101128,not pass
302,EARL'S KITCHEN + BAR,34.244387,-73.651391,not pass
303,DURTY NELLY'S,42.361697,-71.056577,equal
304,"Dumpling Palace, Inc.",42.345715,-71.08731,not pass
305,Dumpling Kingdom,42.35225,-71.132078,pass
306,Dumpling King,42.35225,-71.132078,not pass
307,DUMPLING CAF,34.244387,-73.651391,not pass
308,DUBLIN PUB,34.244387,-73.651391,equal
309,D'S KEYS DUELING PIANOS,42.342881,-71.045395,not pass
310,DRINK/SPORTELLO/MENTON,42.350637,-71.048443,equal
311,D'PARMA RESTAURANT,42.369371,-71.040323,not pass
312,DOUBLE CHIN,42.350783,-71.061311,pass
313,DOT TAVERN,42.322159,-71.056601,equal
314,DORSET HALL,42.2867,-71.04513,not pass
315,DONOVAN'S TAVERN,42.360554,-71.054711,equal
316,DONA HABANA LLC,42.332045,-71.073726,equal
317,Domino's Pizza,42.347628,-71.105879,pass
318,Domino's Pizza,42.29232,-71.12155,equal
319,DOMINO'S PIZZA,42.33403,-71.05504,pass
320,Domino's Pizza,42.362916,-71.064165,pass
321,Domino's Pizza,42.331374,-71.095779,pass
322,Domino's Pizza,42.274801,-71.139871,pass
323,DOMINO'S PIZZA,42.25246,-71.11896,equal
324,DOMINOS PIZZA,34.244387,-73.651391,pass
325,Domino's #3797,42.27234,-71.09324,pass
326,Domino's,42.354615,-71.134075,pass
327,District 7 Tavern,42.317987,-71.08174,not pass
328,DILLON'S,42.348052,-71.085767,not pass
329,DEVLIN'S,42.348878,-71.152342,not pass
330,"D'Buly Chimis,",42.285219,-71.091435,not pass
331,dbar,34.244387,-73.651391,equal
332,Dave;s Hot Chicken,42.325293,-71.062661,equal
333,DARRYL'S CORNER BAR & KITCHEN,42.33975,-71.082398,not pass
334,DALONGYI HOT POT,42.353117,-71.131382,not pass
335,CURRY STUDENT CENTER,42.339691,-71.087983,not pass
336,CUNARD TAVERN,42.367333,-71.038813,equal
337,CROKE PARK,42.339276,-71.051191,equal
338,Crispy Dough Pizzeria,42.332179,-71.099603,pass
339,COSTELLO'S TAVERN,42.31124,-71.11473,equal
340,CORRIB PUB & RESTAURANT,42.280802,-71.157911,equal
341,CORRIB PUB,42.3499,-71.15277,equal
342,CORNWALL'S,42.349476,-71.095528,equal
343,CORNER PUB OF CHINATOWN,42.350774,-71.058375,equal
344,CORNER CAF,42.36561,-71.05597,equal
345,COOGAN'S BLUFF,42.35827,-71.0533,equal
346,COMMITTEE,42.353522,-71.046129,not pass
347,COLLEGE PIZZA,42.342575,-71.097279,pass
348,CLUB CAF,42.348559,-71.072291,equal
349,CLOCK TAVERN,42.338328,-71.049724,equal
350,CLERYS,42.346243,-71.0752,not pass
351,CLARKE'S,42.359462,-71.05548,not pass
352,CITYSIDE IN THE CIRCLE,34.244387,-73.651391,equal
353,CITY WINERY,42.365339,-71.059852,not pass
354,CITY TAP HOUSE,42.350091,-71.047142,equal
355,Citrus & Salt,42.348823,-71.072099,not pass
356,CHINESE DRAGON,42.379336,-71.02807,not pass
357,CHINA SEA,42.283391,-71.09141,not pass
358,Chilacates,42.335233,-71.03522,equal
359,Charles River Speedway,42.361921,-71.145175,equal
360,CENTERFOLDS,42.351434,-71.063278,equal
361,Caveau,42.359773,-71.060219,equal
362,CAVAN CAF/CAVAN HOUSE,42.25062,-71.12573,not pass
363,CAUSEWAY,42.364444,-71.062676,equal
364,"Castle Island Brewing, Co.",42.33687,-71.05605,equal
365,CASK AND FLAGON,42.347324,-71.098176,equal
366,Casa Bonita Mexican Grill,42.32709,-71.06764,equal
367,CARRIE NATION,42.35838,-71.06178,equal
368,CAPPY'S SUB,42.343727,-71.089582,not pass
369,"CANTON HOUSE, INC.",42.29113,-71.06262,pass
370,Canton House,42.315683,-71.06599,pass
371,CANTON EATERY,42.37831,-71.03898,not pass
372,CAFFE VITTORIA,42.36414,-71.05435,not pass
373,CAFFE PARADISO,42.363223,-71.054789,equal
374,CAFFE DELLO SPORT,42.36434,-71.05416,not pass
375,Cafe Gigu,42.37273,-71.0392,equal
376,Caf Napoli,42.371833,-71.036223,pass
377,BURGER KING,42.35303,-71.13498,not pass
378,BURGER KING,42.309266,-71.057753,not pass
379,BUKOWSKI TAVERN,42.347065,-71.085643,not pass
380,BROWNSTONE,42.346447,-71.075281,not pass
381,BROWN SUGAR CAF ON COMM AVE,42.352164,-71.121838,not pass
382,BOSTONIA PUBLIC HOUSE,42.35916,-71.054292,equal
383,"Boston Restaurant Bar & Grills, LLC",42.256005,-71.123761,pass
384,Boston Pizza Grill,42.315678,-71.065941,pass
385,Boston Cigar Club,42.373892,-71.062637,equal
386,Boston Ale House,42.28595,-71.15582,equal
387,Borrachito/The Garret Boston,42.349938,-71.044345,equal
388,Boqueria Tapas Bar and Restaurant,42.350914,-71.047406,equal
389,Bootleg Special,34.244387,-73.651391,not pass
390,BLEACHER BAR,42.346771,-71.098711,not pass
391,Blaze Pizza,42.344642,-71.09694,equal
392,Blackmoor Bar & Kitchen,42.371315,-71.061133,not pass
393,Black Seed,42.355647,-71.062559,equal
394,BLACK ROSE,42.35958,-71.05404,equal
395,BILL'S BAR/THE LANSDOWNE PUB,42.347342,-71.095081,equal
396,Bijou and Rock & Rye,42.351195,-71.064162,not pass
397,BIDDY EARLY'S,42.35464,-71.05374,equal
398,BELL IN HAND,42.3616,-71.05706,equal
399,BEEHIVE,42.344699,-71.071387,not pass
400,BEBOP,42.34679,-71.08871,equal
401,BEANTOWN PUB,42.357233,-71.060979,equal
402,BB.Q Chicken,42.35108,-71.13111,equal
403,BARNEY'S GRILL,42.376526,-71.033799,equal
404,BARLOW'S,42.346542,-71.051067,equal
405,BARCELONA,42.344844,-71.070985,equal
406,BALANCE PATCH,42.352292,-71.121708,not pass
407,BalaMao Restaurant,42.349345,-71.156794,equal
408,BACKYARD BETTY'S,42.329717,-71.056471,equal
409,BACK BAY SOCIAL CLUB,42.34874,-71.083445,equal
410,BACCO,42.36418,-71.05538,equal
411,AUDUBON CIRCLE RESTAURANT & BAR,42.34741,-71.10321,equal
412,ASSAGGIO,42.364563,-71.05416,not pass
413,ARTU,42.36405,-71.05368,equal
414,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,42.326087,-71.063611,equal
415,ANCHOVIES,42.344027,-71.077869,equal
416,Amsterdam & Broadway's Best Pizza,42.335275,-71.04559,equal
417,ALMA,42.360819,-71.056715,equal
418,ALLSTON BILLIARDS,42.35468,-71.13543,not pass
419,Ajeen,42.350755,-71.13087,pass
420,A.T. OKeeffes,42.34843,-71.08442,equal
421,A&B BURGERS,42.36555,-71.059371,not pass
422,75 ON LIBERTY WHARF,42.349103,-71.038889,not pass
423,75 CHESTNUT,42.356898,-71.070971,not pass
424,6B/Emmetts,42.35814,-71.06152,equal
425,"571 TREMONT, LLC",42.343679,-71.072625,not pass
426,"425 BROADWAY, LLC",42.336319,-71.047636,equal
427,2TWENTY2,42.357472,-71.055597,equal
428,21ST. AMENDMENT,42.358336,-71.062581,equal
429,154 Station,42.369908,-71.037913,equal
430,"150 CANAL STREET, INC.",42.3648,-71.0608,equal
431,NEW YORK PIZZA,42.35145,-71.06456,equal
432,GREAT WOK RESTAURANT,42.32103,-71.06171,equal
433,FROYO WORLD,42.351554,-71.13189,equal
434,DRAGON CHEF,42.286847,-71.127361,not pass
435,BLACKSEED CAF AND GRILL,42.356,-71.06214,not pass
436,AZAMA GRILL,42.35452,-71.13228,equal
